label,id,x,y,width,height,area
P1,240,65,4,15,12,63.5
P2,239,491,23,21,26,238.5
P3,238,478,31,22,28,259.5
P4,237,462,41,24,29,291.5
P5,236,448,50,23,28,289.0
P6,235,434,61,22,27,283.5
P7,234,419,71,22,27,278.0
P8,233,404,79,23,28,282.5
P9,232,601,88,30,22,297.5
P10,231,389,91,22,26,266.0
P11,230,373,100,25,26,293.0
P12,229,571,103,29,22,259.0
P13,228,608,103,30,23,356.5
P14,227,358,109,25,28,300.0
P15,226,577,117,32,25,357.5
P16,225,616,117,30,25,339.5
P17,224,343,120,25,26,288.0
P18,223,328,129,25,25,257.5
P19,222,507,130,30,23,321.0
P20,221,586,134,30,23,325.0
P21,220,623,134,33,24,413.5
P22,219,314,138,25,27,298.5
P23,218,514,145,31,24,345.0
P24,217,477,147,29,23,267.0
P25,216,299,148,25,26,268.0
P26,215,592,148,32,25,396.5
P27,214,631,150,32,24,356.5
P28,213,284,156,26,28,320.0
P29,212,484,160,30,24,361.5
P30,211,521,162,31,24,355.0
P31,210,600,165,32,24,355.0
P32,209,638,165,34,24,401.0
P33,208,269,166,25,29,315.0
P34,1,176,176,63,69,2517.0
P35,207,491,176,31,23,344.5
P36,206,528,177,33,25,401.0
P37,205,253,178,26,26,317.5
P38,204,606,180,33,25,393.5
P39,203,645,180,34,25,400.5
P40,202,406,182,29,23,300.0
P41,201,498,192,32,24,367.5
P42,200,536,194,33,23,352.0
P43,199,614,196,33,24,389.5
P44,198,653,196,33,25,415.5
P45,197,375,198,30,23,282.0
P46,196,412,198,30,23,335.5
P47,195,544,208,33,25,384.5
P48,194,507,209,30,22,325.0
P49,193,621,211,34,26,436.0
P50,192,420,212,31,25,353.5
P51,191,381,213,32,23,344.5
P52,190,662,213,32,25,378.5
P53,189,551,223,33,25,384.0
P54,188,514,224,31,23,368.0
P55,187,427,228,33,26,399.5
P56,186,390,229,30,24,336.5
P57,185,630,229,32,24,388.5
P58,184,670,229,32,24,365.0
P59,183,311,231,30,21,288.0
P60,182,161,236,21,29,313.5
P61,181,559,238,34,27,441.5
P62,180,521,240,32,23,349.5
P63,179,396,244,32,25,375.5
P64,178,678,245,32,24,356.0
P65,177,318,246,31,22,342.0
P66,176,435,246,32,23,318.0
P67,175,638,246,32,22,356.5
P68,174,149,247,19,26,229.5
P69,173,282,247,28,20,258.5
P70,172,528,255,33,26,424.5
P71,171,132,256,22,27,286.5
P72,170,567,256,34,26,428.5
P73,169,442,260,34,25,384.0
P74,168,288,261,30,24,346.0
P75,167,326,261,30,23,335.0
P76,166,405,261,31,22,313.0
P77,165,645,261,33,24,360.0
P78,164,685,262,32,22,334.0
P79,163,116,265,23,30,338.5
P80,162,536,271,33,26,405.0
P81,161,575,272,34,26,410.5
P82,160,103,275,21,29,301.0
P83,159,411,275,32,25,374.5
P84,158,450,275,33,25,393.5
P85,157,294,276,32,24,347.0
P86,156,653,276,33,24,353.5
P87,155,333,277,33,25,401.0
P88,154,89,284,23,29,345.5
P89,153,543,288,33,25,412.0
P90,152,582,288,34,25,401.0
P91,151,418,291,33,24,386.5
P92,150,457,291,35,26,452.5
P93,149,217,292,29,23,289.5
P94,148,73,293,24,30,385.5
P95,147,303,293,32,23,371.5
P96,146,342,293,30,23,305.5
P97,145,56,303,26,31,449.5
P98,144,551,303,33,25,394.0
P99,143,592,303,31,25,329.5
P100,142,426,306,34,27,448.0
P101,141,223,307,31,23,348.0
P102,140,349,308,31,25,341.5
P103,139,465,308,34,25,409.5
P104,138,186,309,29,22,277.5
P105,137,310,309,31,23,324.0
P106,136,43,314,21,28,279.0
P107,135,558,319,32,23,354.0
P108,134,28,322,24,31,404.5
P109,133,193,323,30,23,335.5
P110,132,231,323,31,23,319.0
P111,131,317,323,32,23,355.5
P112,130,355,323,32,25,335.5
P113,129,434,324,33,24,407.0
P114,128,473,324,35,25,399.0
P115,127,324,338,33,25,361.0
P116,126,363,339,33,25,414.5
P117,125,201,340,29,22,305.5
P118,124,239,340,32,23,377.0
P119,123,442,340,33,24,383.0
P120,122,481,341,33,23,372.0
P121,121,208,355,31,24,352.0
P122,120,332,355,33,24,424.5
P123,119,247,356,30,23,302.0
P124,118,450,356,32,23,370.5
P125,117,371,357,33,24,376.5
P126,116,489,357,32,22,308.5
P127,115,133,361,32,24,376.0
P128,29,7,368,77,111,3885.0
P129,114,215,371,30,22,299.5
P130,113,254,371,31,23,335.5
P131,112,340,371,33,25,369.0
P132,111,457,371,33,24,363.5
P133,28,10,372,33,24,400.5
P134,110,380,373,32,25,373.5
P135,109,140,376,32,26,426.0
P136,108,102,377,32,24,355.0
P137,107,262,387,30,23,322.5
P138,27,18,388,31,23,348.0
P139,106,223,388,30,21,328.0
P140,105,348,388,32,23,353.5
P141,104,387,388,33,24,370.0
P142,103,109,392,32,25,417.0
P143,102,147,392,34,25,413.0
P144,26,25,401,32,26,457.0
P145,101,230,402,31,23,331.0
P146,100,269,403,33,24,399.5
P147,99,355,403,32,24,361.5
P148,98,394,404,32,23,334.0
P149,97,155,407,34,27,473.5
P150,96,117,408,32,25,400.5
P151,25,32,418,33,27,493.5
P152,95,238,418,31,24,407.0
P153,94,278,419,32,25,372.5
P154,93,364,420,29,23,319.5
P155,92,125,423,32,27,440.5
P156,91,163,425,33,24,385.5
P157,90,246,434,31,25,380.5
P158,24,41,435,32,25,371.0
P159,89,285,435,33,24,348.5
P160,88,170,439,34,26,427.0
P161,87,132,440,32,25,371.0
P162,23,48,451,33,23,358.5
P163,86,293,451,33,23,361.0
P164,85,253,452,31,22,333.0
P165,84,139,455,33,25,409.5
P166,83,178,455,33,26,419.5
P167,82,262,467,30,22,330.5
P168,81,300,467,32,22,332.5
P169,80,185,470,35,28,484.0
P170,79,147,471,32,25,392.0
P171,5,390,472,51,63,1297.0
P172,4,396,478,35,33,705.0
P173,22,61,479,61,79,2571.0
P174,78,308,481,32,24,355.5
P175,21,66,482,31,24,362.5
P176,77,269,483,29,22,316.5
P177,76,154,486,34,27,449.5
P178,75,194,487,34,27,452.5
P179,74,316,495,29,24,340.0
P180,73,277,497,31,22,305.5
P181,20,73,498,29,21,322.5
P182,72,163,504,33,25,421.0
P183,71,201,504,35,26,419.0
P184,19,79,511,31,25,425.0
P185,70,285,512,33,23,345.5
P186,3,410,513,62,79,2256.5
P187,69,171,520,32,25,406.0
P188,68,209,520,34,25,420.5
P189,2,420,529,35,35,710.0
P190,18,88,530,29,23,408.5
P191,67,217,535,32,23,332.0
P192,66,178,536,32,24,391.0
P193,65,349,548,30,22,294.0
P194,64,225,550,32,22,325.0
P195,63,185,551,32,25,362.0
P196,1,176,176,63,69,2517.0
P197,17,106,562,32,25,377.0
P198,62,319,562,31,24,334.5
P199,61,357,562,30,25,344.5
P200,60,232,563,33,26,415.0
P201,59,195,566,31,21,313.5
P202,58,326,577,32,24,388.0
P203,16,113,578,32,23,345.5
P204,57,201,579,33,24,412.5
P205,56,240,579,32,24,392.0
P206,55,364,579,30,23,346.5
P207,15,121,591,33,27,462.0
P208,54,247,594,34,27,447.5
P209,53,334,594,30,24,361.5
P210,52,371,594,32,25,402.0
P211,51,209,595,32,24,389.0
P212,50,341,609,32,24,396.0
P213,14,127,610,34,25,484.5
P214,49,217,610,32,25,418.0
P215,48,255,611,34,24,383.0
P216,47,379,611,31,23,347.0
P217,13,137,626,32,25,367.5
P218,46,350,626,30,22,345.5
P219,45,386,626,31,24,378.0
P220,44,224,627,33,23,372.5
P221,43,263,627,32,24,403.5
P222,42,358,641,29,23,363.5
P223,12,144,642,33,23,378.5
P224,41,232,642,32,24,397.0
P225,40,271,642,33,24,394.5
P226,39,394,643,31,22,355.5
P227,38,364,655,31,24,361.0
P228,37,278,656,34,28,473.0
P229,36,239,658,33,23,384.0
P230,11,152,659,32,22,375.5
P231,10,158,672,33,23,342.5
P232,35,247,672,33,27,438.0
P233,34,286,675,34,25,426.0
P234,9,166,686,32,26,456.0
P235,33,255,690,32,25,402.5
P236,32,294,691,34,25,409.5
P237,8,173,703,33,28,505.5
P238,31,263,707,32,24,374.5
P239,30,302,707,33,24,392.5
P240,7,182,722,32,23,378.5
P241,29,7,368,77,111,3885.0
P242,28,10,372,33,24,400.5
P243,27,18,388,31,23,348.0
P244,6,188,738,31,22,362.5
P245,26,25,401,32,26,457.0
P246,25,32,418,33,27,493.5
P247,5,390,472,51,63,1297.0
P248,24,41,435,32,25,371.0
P249,23,48,451,33,23,358.5
P250,4,396,478,35,33,705.0
P251,22,61,479,61,79,2571.0
P252,21,66,482,31,24,362.5
P253,3,410,513,62,79,2256.5
P254,20,73,498,29,21,322.5
P255,19,79,511,31,25,425.0
P256,2,420,529,35,35,710.0
P257,18,88,530,29,23,408.5
P258,16,113,578,32,23,345.5
P259,17,106,562,32,25,377.0
P260,1,176,176,63,69,2517.0
P261,15,121,591,33,27,462.0
P262,14,127,610,34,25,484.5
P263,13,137,626,32,25,367.5
P264,12,144,642,33,23,378.5
P265,11,152,659,32,22,375.5
P266,10,158,672,33,23,342.5
P267,9,166,686,32,26,456.0
P268,8,173,703,33,28,505.5
P269,7,182,722,32,23,378.5
P270,6,188,738,31,22,362.5
P271,5,390,472,51,63,1297.0
P272,4,396,478,35,33,705.0
P273,3,410,513,62,79,2256.5
P274,2,420,529,35,35,710.0
P275,1,176,176,63,69,2517.0
